iter	Passed	Remaining
644	1306	719
645	1308	717
646	1309	714
647	1311	712
648	1312	709
649	1313	707
650	1315	704
651	1316	702
652	1317	700
653	1318	697
654	1319	695
655	1322	693
656	1324	691
657	1325	688
658	1326	686
659	1327	684
660	1329	681
661	1330	679
662	1331	677
663	1333	674
664	1334	672
665	1336	670
666	1338	668
667	1339	665
668	1341	663
669	1342	661
670	1343	658
671	1344	656
672	1346	654
673	1347	651
674	1348	649
675	1350	647
676	1352	645
677	1353	642
678	1355	640
679	1356	638
680	1357	636
681	1359	633
682	1360	631
683	1361	629
684	1362	626
685	1363	624
686	1366	622
687	1367	620
688	1369	618
689	1370	615
690	1371	613
691	1373	611
692	1374	608
693	1376	606
694	1377	604
695	1378	602
696	1380	600
697	1382	598
698	1384	596
699	1385	593
700	1386	591
701	1388	589
702	1389	587
703	1390	584
704	1392	582
705	1393	580
706	1396	578
707	1398	576
708	1399	574
709	1401	572
710	1402	570
711	1403	567
712	1405	565
713	1406	563
714	1408	561
715	1409	559
716	1412	557
717	1414	555
718	1415	553
719	1417	551
720	1418	548
721	1419	546
722	1421	544
723	1422	542
724	1424	540
725	1426	538
726	1428	536
727	1430	534
728	1431	532
729	1432	529
730	1434	527
731	1435	525
732	1436	523
733	1438	521
734	1440	519
735	1442	517
736	1444	515
737	1445	513
738	1447	511
739	1448	509
740	1450	507
741	1452	504
742	1453	502
743	1456	501
744	1457	499
745	1459	496
746	1460	494
747	1462	492
748	1464	490
749	1466	488
750	1467	486
751	1469	484
752	1472	482
753	1473	480
754	1474	478
755	1476	476
756	1477	474
757	1479	472
758	1480	470
759	1482	468
760	1486	466
761	1489	465
762	1490	463
763	1492	461
764	1493	458
765	1495	456
766	1496	454
767	1498	452
768	1499	450
769	1502	448
770	1504	446
771	1506	444
772	1507	442
773	1509	440
774	1510	438
775	1511	436
776	1513	434
777	1514	432
778	1517	430
779	1519	428
780	1520	426
781	1521	424
782	1523	422
783	1525	420
784	1526	418
785	1528	416
786	1529	413
787	1531	412
788	1533	410
789	1534	408
790	1536	405
791	1537	403
792	1539	401
793	1540	399
794	1541	397
795	1543	395
796	1544	393
797	1546	391
798	1548	389
799	1550	387
800	1551	385
801	1553	383
802	1554	381
803	1555	379
804	1557	377
805	1558	375
806	1559	373
807	1561	371
808	1563	369
809	1565	367
810	1566	365
811	1568	363
812	1569	361
813	1571	359
814	1572	357
815	1574	355
816	1577	353
817	1579	351
818	1580	349
819	1582	347
820	1583	345
821	1585	343
822	1586	341
823	1588	339
824	1589	337
825	1591	335
826	1593	333
827	1595	331
828	1596	329
829	1597	327
830	1599	325
831	1600	323
832	1602	321
833	1603	319
834	1604	317
835	1606	315
836	1608	313
837	1610	311
838	1611	309
839	1612	307
840	1613	305
841	1615	303
842	1616	301
843	1617	299
844	1619	297
845	1620	295
846	1622	293
847	1624	291
848	1625	289
849	1626	287
850	1627	285
851	1629	283
852	1630	281
853	1631	278
854	1633	276
855	1634	274
856	1637	273
857	1639	271
858	1640	269
859	1641	267
860	1642	265
861	1644	263
862	1645	261
863	1647	259
864	1648	257
865	1650	255
866	1652	253
867	1654	251
868	1655	249
869	1657	247
870	1658	245
871	1659	243
872	1660	241
873	1662	239
874	1663	237
875	1666	235
876	1667	233
877	1669	231
878	1670	229
879	1672	228
880	1673	226
881	1674	224
882	1675	222
883	1677	220
884	1678	218
885	1679	216
886	1682	214
887	1684	212
888	1685	210
889	1686	208
890	1688	206
891	1689	204
892	1691	202
893	1692	200
894	1693	198
895	1694	196
896	1697	194
897	1699	192
898	1700	191
899	1701	189
900	1703	187
901	1704	185
902	1705	183
903	1707	181
904	1708	179
905	1711	177
906	1713	175
907	1714	173
908	1715	171
909	1717	169
910	1718	167
911	1719	165
912	1721	164
913	1722	162
914	1723	160
915	1726	158
916	1728	156
917	1729	154
918	1730	152
919	1732	150
920	1733	148
921	1735	146
922	1736	144
923	1737	142
924	1739	141
925	1741	139
926	1742	137
927	1744	135
928	1745	133
929	1746	131
930	1748	129
931	1749	127
932	1751	125
933	1752	123
934	1753	121
935	1756	120
936	1758	118
937	1759	116
938	1761	114
939	1762	112
940	1763	110
941	1765	108
942	1766	106
943	1767	104
944	1769	102
945	1772	101
946	1773	99
947	1774	97
948	1776	95
949	1777	93
950	1778	91
951	1780	89
952	1781	87
953	1783	85
954	1784	84
955	1786	82
956	1787	80
957	1789	78
958	1790	76
959	1792	74
960	1793	72
961	1795	70
962	1796	69
963	1798	67
964	1799	65
965	1801	63
966	1803	61
967	1804	59
968	1805	57
969	1807	55
970	1808	54
971	1809	52
972	1811	50
973	1812	48
974	1813	46
975	1816	44
976	1818	42
977	1819	40
978	1820	39
979	1822	37
980	1823	35
981	1825	33
982	1826	31
983	1827	29
984	1829	27
985	1831	26
986	1833	24
987	1834	22
988	1835	20
989	1837	18
990	1838	16
991	1839	14
992	1841	12
993	1842	11
994	1843	9
995	1846	7
996	1848	5
997	1849	3
998	1851	1
999	1853	0
